Title,Top ten European-Union countries of domicile (excluding the UK) in 2016/17 for HE student enrolments,,,
Location,UK,,,
Time period,2012/13 to 2016/17,,,
Data source,HESA,,,
Data source link,https://www.hesa.ac.uk/data-and-analysis/sfr247/figure-10,,,
Data file canonical link,https://www.hesa.ac.uk/data-and-analysis/sfr247/figure-10.csv,,,
Licence,Creative Commons Attribution 4.0 International Licence,,,
Code page,ISO 8859-1,,,
Last updated,Jan-18,,,
,,,,
Country of domicile,Country of HE provider,First year marker,Academic year,Student count
Denmark,All,All,2013/14,1425.000
Denmark,All,First year,2013/14,750.000
Denmark,All,Other years,2013/14,675.000
Denmark,All,All,2012/13,1495.000
Denmark,All,First year,2012/13,750.000
Denmark,All,Other years,2012/13,745.000
Denmark,England,First year,2016/17,555.000
Denmark,England,Other years,2016/17,505.000
Denmark,England,All,2016/17,1060.000
Denmark,England,First year,2015/16,565.000
Denmark,England,Other years,2015/16,485.000
Denmark,England,All,2015/16,1050.000
Denmark,England,First year,2014/15,605.000
Denmark,England,Other years,2014/15,505.000
Denmark,England,All,2014/15,1105.000
Denmark,England,First year,2013/14,620.000
Denmark,England,Other years,2013/14,550.000
Denmark,England,All,2013/14,1170.000
Denmark,England,First year,2012/13,635.000
Denmark,England,Other years,2012/13,605.000
Denmark,England,All,2012/13,1245.000
Denmark,Northern Ireland,First year,2016/17,5.000
Denmark,Northern Ireland,Other years,2016/17,0.000
Denmark,Northern Ireland,All,2016/17,10.000
Denmark,Northern Ireland,First year,2015/16,5.000
Denmark,Northern Ireland,Other years,2015/16,0.000
Denmark,Northern Ireland,All,2015/16,5.000
Denmark,Northern Ireland,First year,2014/15,0.000
Denmark,Northern Ireland,Other years,2014/15,0.000
Denmark,Northern Ireland,All,2014/15,0.000
Denmark,Northern Ireland,First year,2013/14,0.000
Denmark,Northern Ireland,Other years,2013/14,0.000
Denmark,Northern Ireland,All,2013/14,0.000
Denmark,Northern Ireland,First year,2012/13,0.000
Denmark,Northern Ireland,Other years,2012/13,5.000
Denmark,Northern Ireland,All,2012/13,5.000
Denmark,Scotland,First year,2016/17,140.000
Denmark,Scotland,Other years,2016/17,165.000
Denmark,Scotland,All,2016/17,305.000
Denmark,Scotland,First year,2015/16,100.000
Denmark,Scotland,Other years,2015/16,140.000
Denmark,Scotland,All,2015/16,245.000
Denmark,Scotland,First year,2014/15,110.000
Denmark,Scotland,Other years,2014/15,115.000
Denmark,Scotland,All,2014/15,230.000
Denmark,Scotland,First year,2013/14,115.000
Denmark,Scotland,Other years,2013/14,105.000
Denmark,Scotland,All,2013/14,215.000
Denmark,Scotland,First year,2012/13,100.000
Denmark,Scotland,Other years,2012/13,115.000
Denmark,Scotland,All,2012/13,215.000
Denmark,Wales,First year,2016/17,10.000
Denmark,Wales,Other years,2016/17,10.000
Denmark,Wales,All,2016/17,25.000
Denmark,Wales,First year,2015/16,15.000
Denmark,Wales,Other years,2015/16,10.000
Denmark,Wales,All,2015/16,25.000
Denmark,Wales,First year,2014/15,10.000
Denmark,Wales,Other years,2014/15,15.000
Denmark,Wales,All,2014/15,25.000
Denmark,Wales,First year,2013/14,20.000
Denmark,Wales,Other years,2013/14,20.000
Denmark,Wales,All,2013/14,40.000
Denmark,Wales,First year,2012/13,15.000
Denmark,Wales,Other years,2012/13,20.000
Denmark,Wales,All,2012/13,35.000
"England  county unitary authority unknown ",All,All,2016/17,
"England  county unitary authority unknown ",All,First year,2016/17,
"England  county unitary authority unknown ",All,Other years,2016/17,
"England  county unitary authority unknown ",All,All,2015/16,
"England  county unitary authority unknown ",All,First year,2015/16,
"England  county unitary authority unknown ",All,Other years,2015/16,
"England  county unitary authority unknown ",All,All,2014/15,
"England  county unitary authority unknown ",All,First year,2014/15,
"England  county unitary authority unknown ",All,Other years,2014/15,
"England  county unitary authority unknown ",All,All,2013/14,
"England  county unitary authority unknown ",All,First year,2013/14,
"England  county unitary authority unknown ",All,Other years,2013/14,
"England  county unitary authority unknown ",All,All,2012/13,
"England  county unitary authority unknown ",All,First year,2012/13,
"England  county unitary authority unknown ",All,Other years,2012/13,
"England  county unitary authority unknown ",England,First year,2016/17,0.000
"England  county unitary authority unknown ",England,Other years,2016/17,0.000
"England  county unitary authority unknown ",England,All,2016/17,
"England  county unitary authority unknown ",England,First year,2015/16,0.000
"England  county unitary authority unknown ",England,Other years,2015/16,0.000
"England  county unitary authority unknown ",England,All,2015/16,
"England  county unitary authority unknown ",England,First year,2014/15,0.000
"England  county unitary authority unknown ",England,Other years,2014/15,0.000
"England  county unitary authority unknown ",England,All,2014/15,
"England  county unitary authority unknown ",England,First year,2013/14,0.000
"England  county unitary authority unknown ",England,Other years,2013/14,0.000
"England  county unitary authority unknown ",England,All,2013/14,
"England  county unitary authority unknown ",England,First year,2012/13,0.000
"England  county unitary authority unknown ",England,Other years,2012/13,0.000
"England  county unitary authority unknown ",England,All,2012/13,
"England  county unitary authority unknown ",Northern Ireland,First year,2016/17,0.000
"England  county unitary authority unknown ",Northern Ireland,Other years,2016/17,0.000
"England  county unitary authority unknown ",Northern Ireland,All,2016/17,
"England  county unitary authority unknown ",Northern Ireland,First year,2015/16,0.000
"England  county unitary authority unknown ",Northern Ireland,Other years,2015/16,0.000
"England  county unitary authority unknown ",Northern Ireland,All,2015/16,
"England  county unitary authority unknown ",Northern Ireland,First year,2014/15,0.000
"England  county unitary authority unknown ",Northern Ireland,Other years,2014/15,0.000
"England  county unitary authority unknown ",Northern Ireland,All,2014/15,
"England  county unitary authority unknown ",Northern Ireland,First year,2013/14,0.000
"England  county unitary authority unknown ",Northern Ireland,Other years,2013/14,0.000
"England  county unitary authority unknown ",Northern Ireland,All,2013/14,
"England  county unitary authority unknown ",Northern Ireland,First year,2012/13,0.000
"England  county unitary authority unknown ",Northern Ireland,Other years,2012/13,0.000
"England  county unitary authority unknown ",Northern Ireland,All,2012/13,
"England  county unitary authority unknown ",Scotland,First year,2016/17,0.000
"England  county unitary authority unknown ",Scotland,Other years,2016/17,0.000
"England  county unitary authority unknown ",Scotland,All,2016/17,
"England  county unitary authority unknown ",Scotland,First year,2015/16,0.000
"England  county unitary authority unknown ",Scotland,Other years,2015/16,0.000
"England  county unitary authority unknown ",Scotland,All,2015/16,
"England  county unitary authority unknown ",Scotland,First year,2014/15,0.000
"England  county unitary authority unknown ",Scotland,Other years,2014/15,0.000
"England  county unitary authority unknown ",Scotland,All,2014/15,
"England  county unitary authority unknown ",Scotland,First year,2013/14,0.000
"England  county unitary authority unknown ",Scotland,Other years,2013/14,0.000
"England  county unitary authority unknown ",Scotland,All,2013/14,
"England  county unitary authority unknown ",Scotland,First year,2012/13,0.000
"England  county unitary authority unknown ",Scotland,Other years,2012/13,0.000
"England  county unitary authority unknown ",Scotland,All,2012/13,
"England  county unitary authority unknown ",Wales,First year,2016/17,0.000
"England  county unitary authority unknown ",Wales,Other years,2016/17,0.000
"England  county unitary authority unknown ",Wales,All,2016/17,
"England  county unitary authority unknown ",Wales,First year,2015/16,0.000
"England  county unitary authority unknown ",Wales,Other years,2015/16,0.000
"England  county unitary authority unknown ",Wales,All,2015/16,
"England  county unitary authority unknown ",Wales,First year,2014/15,0.000
"England  county unitary authority unknown ",Wales,Other years,2014/15,0.000
"England  county unitary authority unknown ",Wales,All,2014/15,
"England  county unitary authority unknown ",Wales,First year,2013/14,0.000
"England  county unitary authority unknown ",Wales,Other years,2013/14,0.000
"England  county unitary authority unknown ",Wales,All,2013/14,
"England  county unitary authority unknown ",Wales,First year,2012/13,0.000
"England  county unitary authority unknown ",Wales,Other years,2012/13,0.000
"England  county unitary authority unknown ",Wales,All,2012/13,
Estonia,All,All,2016/17,1035.000
Estonia,All,First year,2016/17,385.000
Estonia,All,Other years,2016/17,650.000
Estonia,All,All,2015/16,1015.000
Estonia,All,First year,2015/16,350.000
Estonia,All,Other years,2015/16,660.000
Estonia,All,All,2014/15,1075.000
Estonia,All,First year,2014/15,365.000
Estonia,All,Other years,2014/15,710.000
Estonia,All,All,2013/14,1175.000
Estonia,All,First year,2013/14,425.000
Estonia,All,Other years,2013/14,750.000
Estonia,All,All,2012/13,1160.000
Estonia,All,First year,2012/13,390.000
Estonia,All,Other years,2012/13,765.000
Estonia,England,First year,2016/17,310.000
Estonia,England,Other years,2016/17,500.000
Estonia,England,All,2016/17,810.000
Estonia,England,First year,2015/16,290.000
Estonia,England,Other years,2015/16,475.000
Estonia,England,All,2015/16,760.000
Estonia,England,First year,2014/15,290.000
Estonia,England,Other years,2014/15,465.000
Estonia,England,All,2014/15,760.000
Estonia,England,First year,2013/14,340.000
Estonia,England,Other years,2013/14,505.000
Estonia,England,All,2013/14,845.000
Estonia,England,First year,2012/13,285.000
Estonia,England,Other years,2012/13,555.000
Estonia,England,All,2012/13,840.000
Estonia,Northern Ireland,First year,2016/17,0.000
Estonia,Northern Ireland,Other years,2016/17,0.000
Estonia,Northern Ireland,All,2016/17,5.000
Estonia,Northern Ireland,First year,2015/16,0.000
Estonia,Northern Ireland,Other years,2015/16,0.000
Estonia,Northern Ireland,All,2015/16,0.000
Estonia,Northern Ireland,First year,2014/15,0.000
Estonia,Northern Ireland,Other years,2014/15,0.000
Estonia,Northern Ireland,All,2014/15,0.000
Estonia,Northern Ireland,First year,2013/14,0.000
Estonia,Northern Ireland,Other years,2013/14,0.000
Estonia,Northern Ireland,All,2013/14,0.000
Estonia,Northern Ireland,First year,2012/13,0.000
Estonia,Northern Ireland,Other years,2012/13,0.000
Estonia,Northern Ireland,All,2012/13,0.000
Estonia,Scotland,First year,2016/17,55.000
Estonia,Scotland,Other years,2016/17,110.000
Estonia,Scotland,All,2016/17,165.000
Estonia,Scotland,First year,2015/16,35.000
Estonia,Scotland,Other years,2015/16,160.000
Estonia,Scotland,All,2015/16,200.000
Estonia,Scotland,First year,2014/15,50.000
Estonia,Scotland,Other years,2014/15,215.000
Estonia,Scotland,All,2014/15,265.000
Estonia,Scotland,First year,2013/14,70.000
Estonia,Scotland,Other years,2013/14,220.000
Estonia,Scotland,All,2013/14,290.000
Estonia,Scotland,First year,2012/13,90.000
Estonia,Scotland,Other years,2012/13,185.000
Estonia,Scotland,All,2012/13,275.000
Estonia,Wales,First year,2016/17,20.000
Estonia,Wales,Other years,2016/17,35.000
Estonia,Wales,All,2016/17,55.000
Estonia,Wales,First year,2015/16,25.000
Estonia,Wales,Other years,2015/16,25.000
Estonia,Wales,All,2015/16,50.000
Estonia,Wales,First year,2014/15,25.000
Estonia,Wales,Other years,2014/15,25.000
Estonia,Wales,All,2014/15,50.000
Estonia,Wales,First year,2013/14,15.000
Estonia,Wales,Other years,2013/14,25.000
Estonia,Wales,All,2013/14,40.000
Estonia,Wales,First year,2012/13,20.000
Estonia,Wales,Other years,2012/13,30.000
Estonia,Wales,All,2012/13,50.000
European Union not otherwise specified,All,All,2016/17,120.000
European Union not otherwise specified,All,First year,2016/17,80.000
European Union not otherwise specified,All,Other years,2016/17,35.000
European Union not otherwise specified,All,All,2015/16,130.000
European Union not otherwise specified,All,First year,2015/16,55.000
European Union not otherwise specified,All,Other years,2015/16,75.000
European Union not otherwise specified,All,All,2014/15,150.000
European Union not otherwise specified,All,First year,2014/15,75.000
European Union not otherwise specified,All,Other years,2014/15,80.000
European Union not otherwise specified,All,All,2013/14,365.000
European Union not otherwise specified,All,First year,2013/14,325.000
European Union not otherwise specified,All,Other years,2013/14,40.000
European Union not otherwise specified,All,All,2012/13,75.000
European Union not otherwise specified,All,First year,2012/13,45.000
European Union not otherwise specified,All,Other years,2012/13,30.000
European Union not otherwise specified,England,First year,2016/17,60.000
European Union not otherwise specified,England,Other years,2016/17,35.000
European Union not otherwise specified,England,All,2016/17,95.000
European Union not otherwise specified,England,First year,2015/16,55.000
European Union not otherwise specified,England,Other years,2015/16,65.000
European Union not otherwise specified,England,All,2015/16,120.000
European Union not otherwise specified,England,First year,2014/15,65.000
European Union not otherwise specified,England,Other years,2014/15,70.000
European Union not otherwise specified,England,All,2014/15,135.000
European Union not otherwise specified,England,First year,2013/14,315.000
European Union not otherwise specified,England,Other years,2013/14,40.000
European Union not otherwise specified,England,All,2013/14,355.000
European Union not otherwise specified,England,First year,2012/13,45.000
European Union not otherwise specified,England,Other years,2012/13,25.000
European Union not otherwise specified,England,All,2012/13,70.000
European Union not otherwise specified,Northern Ireland,First year,2016/17,0.000
European Union not otherwise specified,Northern Ireland,Other years,2016/17,0.000
European Union not otherwise specified,Northern Ireland,All,2016/17,0.000
European Union not otherwise specified,Northern Ireland,First year,2015/16,0.000
European Union not otherwise specified,Northern Ireland,Other years,2015/16,0.000
European Union not otherwise specified,Northern Ireland,All,2015/16,0.000
European Union not otherwise specified,Northern Ireland,First year,2014/15,0.000
European Union not otherwise specified,Northern Ireland,Other years,2014/15,0.000
European Union not otherwise specified,Northern Ireland,All,2014/15,0.000
European Union not otherwise specified,Northern Ireland,First year,2013/14,0.000
European Union not otherwise specified,Northern Ireland,Other years,2013/14,0.000
European Union not otherwise specified,Northern Ireland,All,2013/14,0.000
European Union not otherwise specified,Northern Ireland,First year,2012/13,0.000
European Union not otherwise specified,Northern Ireland,Other years,2012/13,0.000
European Union not otherwise specified,Northern Ireland,All,2012/13,0.000
European Union not otherwise specified,Scotland,First year,2016/17,20.000
European Union not otherwise specified,Scotland,Other years,2016/17,0.000
European Union not otherwise specified,Scotland,All,2016/17,20.000
European Union not otherwise specified,Scotland,First year,2015/16,0.000
European Union not otherwise specified,Scotland,Other years,2015/16,0.000
European Union not otherwise specified,Scotland,All,2015/16,0.000
European Union not otherwise specified,Scotland,First year,2014/15,0.000
European Union not otherwise specified,Scotland,Other years,2014/15,0.000
European Union not otherwise specified,Scotland,All,2014/15,0.000
European Union not otherwise specified,Scotland,First year,2013/14,0.000
European Union not otherwise specified,Scotland,Other years,2013/14,0.000
European Union not otherwise specified,Scotland,All,2013/14,0.000
European Union not otherwise specified,Scotland,First year,2012/13,0.000
European Union not otherwise specified,Scotland,Other years,2012/13,0.000
European Union not otherwise specified,Scotland,All,2012/13,0.000
European Union not otherwise specified,Wales,First year,2016/17,5.000
European Union not otherwise specified,Wales,Other years,2016/17,0.000
European Union not otherwise specified,Wales,All,2016/17,5.000
European Union not otherwise specified,Wales,First year,2015/16,5.000
European Union not otherwise specified,Wales,Other years,2015/16,10.000
European Union not otherwise specified,Wales,All,2015/16,10.000
European Union not otherwise specified,Wales,First year,2014/15,10.000
European Union not otherwise specified,Wales,Other years,2014/15,5.000
European Union not otherwise specified,Wales,All,2014/15,15.000
European Union not otherwise specified,Wales,First year,2013/14,10.000
European Union not otherwise specified,Wales,Other years,2013/14,5.000
European Union not otherwise specified,Wales,All,2013/14,10.000
European Union not otherwise specified,Wales,First year,2012/13,5.000
European Union not otherwise specified,Wales,Other years,2012/13,5.000
European Union not otherwise specified,Wales,All,2012/13,5.000
Finland,All,All,2016/17,2010.000
Finland,All,First year,2016/17,865.000
Finland,All,Other years,2016/17,1145.000
Finland,All,All,2015/16,1970.000
Finland,All,First year,2015/16,820.000
Finland,All,Other years,2015/16,1155.000
Finland,All,All,2014/15,1895.000
Finland,All,First year,2014/15,820.000
Finland,All,Other years,2014/15,1075.000
Finland,All,All,2013/14,1885.000
Finland,All,First year,2013/14,730.000
Finland,All,Other years,2013/14,1150.000
Finland,All,All,2012/13,1820.000
Finland,All,First year,2012/13,690.000
Finland,All,Other years,2012/13,1130.000
Finland,England,First year,2016/17,510.000
Finland,England,Other years,2016/17,615.000
Finland,England,All,2016/17,1125.000
Finland,England,First year,2015/16,520.000
Finland,England,Other years,2015/16,650.000
Finland,England,All,2015/16,1170.000
Finland,England,First year,2014/15,535.000
Finland,England,Other years,2014/15,600.000
Finland,England,All,2014/15,1140.000
Finland,England,First year,2013/14,500.000
Finland,England,Other years,2013/14,690.000
Finland,England,All,2013/14,1190.000
Finland,England,First year,2012/13,430.000
Finland,England,Other years,2012/13,725.000
Finland,England,All,2012/13,1155.000
Finland,Northern Ireland,First year,2016/17,0.000
Finland,Northern Ireland,Other years,2016/17,5.000
Finland,Northern Ireland,All,2016/17,5.000
Finland,Northern Ireland,First year,2015/16,0.000
Finland,Northern Ireland,Other years,2015/16,5.000
Finland,Northern Ireland,All,2015/16,5.000
Finland,Northern Ireland,First year,2014/15,0.000
Finland,Northern Ireland,Other years,2014/15,0.000
Finland,Northern Ireland,All,2014/15,5.000
Finland,Northern Ireland,First year,2013/14,0.000
Finland,Northern Ireland,Other years,2013/14,0.000
Finland,Northern Ireland,All,2013/14,0.000
Finland,Northern Ireland,First year,2012/13,0.000
Finland,Northern Ireland,Other years,2012/13,0.000
Finland,Northern Ireland,All,2012/13,0.000
Finland,Scotland,First year,2016/17,325.000
Finland,Scotland,Other years,2016/17,500.000
Finland,Scotland,All,2016/17,825.000
Finland,Scotland,First year,2015/16,265.000
Finland,Scotland,Other years,2015/16,470.000
Finland,Scotland,All,2015/16,735.000
Finland,Scotland,First year,2014/15,265.000
Finland,Scotland,Other years,2014/15,430.000
Finland,Scotland,All,2014/15,695.000
Finland,Scotland,First year,2013/14,210.000
Finland,Scotland,Other years,2013/14,410.000
Finland,Scotland,All,2013/14,615.000
Finland,Scotland,First year,2012/13,230.000
Finland,Scotland,Other years,2012/13,350.000
Finland,Scotland,All,2012/13,580.000
Finland,Wales,First year,2016/17,25.000
Finland,Wales,Other years,2016/17,30.000
Finland,Wales,All,2016/17,55.000
Finland,Wales,First year,2015/16,35.000
Finland,Wales,Other years,2015/16,30.000
Finland,Wales,All,2015/16,65.000
Finland,Wales,First year,2014/15,20.000
Finland,Wales,Other years,2014/15,40.000
Finland,Wales,All,2014/15,60.000
Finland,Wales,First year,2013/14,25.000
Finland,Wales,Other years,2013/14,50.000
Finland,Wales,All,2013/14,75.000
Finland,Wales,First year,2012/13,25.000
Finland,Wales,Other years,2012/13,55.000
Finland,Wales,All,2012/13,80.000
France,All,All,2016/17,13560.000
France,All,First year,2016/17,7250.000
France,All,Other years,2016/17,6310.000
France,All,All,2015/16,12525.000
France,All,First year,2015/16,6995.000
France,All,Other years,2015/16,5530.000
France,All,All,2014/15,11955.000
France,All,First year,2014/15,6845.000
France,All,Other years,2014/15,5105.000
France,All,All,2013/14,11500.000
France,All,First year,2013/14,6490.000
France,All,Other years,2013/14,5010.000
France,All,All,2012/13,11695.000
France,All,First year,2012/13,6735.000
France,All,Other years,2012/13,4960.000
France,England,First year,2016/17,5615.000
France,England,Other years,2016/17,5375.000
France,England,All,2016/17,10990.000
France,England,First year,2015/16,5455.000
France,England,Other years,2015/16,4710.000
France,England,All,2015/16,10165.000
France,England,First year,2014/15,5290.000
France,England,Other years,2014/15,4370.000
France,England,All,2014/15,9665.000
France,England,First year,2013/14,4850.000
France,England,Other years,2013/14,4365.000
France,England,All,2013/14,9215.000
France,England,First year,2012/13,5075.000
France,England,Other years,2012/13,4345.000
France,England,All,2012/13,9425.000
France,Northern Ireland,First year,2016/17,25.000
France,Northern Ireland,Other years,2016/17,20.000
France,Northern Ireland,All,2016/17,45.000
France,Northern Ireland,First year,2015/16,20.000
France,Northern Ireland,Other years,2015/16,20.000
France,Northern Ireland,All,2015/16,40.000
France,Northern Ireland,First year,2014/15,15.000
France,Northern Ireland,Other years,2014/15,10.000
France,Northern Ireland,All,2014/15,25.000
France,Northern Ireland,First year,2013/14,15.000
France,Northern Ireland,Other years,2013/14,20.000
France,Northern Ireland,All,2013/14,35.000
France,Northern Ireland,First year,2012/13,25.000
France,Northern Ireland,Other years,2012/13,15.000
France,Northern Ireland,All,2012/13,40.000
France,Scotland,First year,2016/17,1115.000
France,Scotland,Other years,2016/17,735.000
France,Scotland,All,2016/17,1850.000
France,Scotland,First year,2015/16,1080.000
France,Scotland,Other years,2015/16,645.000
France,Scotland,All,2015/16,1730.000
France,Scotland,First year,2014/15,955.000
France,Scotland,Other years,2014/15,575.000
France,Scotland,All,2014/15,1530.000
France,Scotland,First year,2013/14,1000.000
France,Scotland,Other years,2013/14,485.000
France,Scotland,All,2013/14,1490.000
France,Scotland,First year,2012/13,1010.000
France,Scotland,Other years,2012/13,470.000
France,Scotland,All,2012/13,1480.000
France,Wales,First year,2016/17,495.000
France,Wales,Other years,2016/17,180.000
France,Wales,All,2016/17,680.000
France,Wales,First year,2015/16,440.000
France,Wales,Other years,2015/16,155.000
France,Wales,All,2015/16,595.000
France,Wales,First year,2014/15,585.000
France,Wales,Other years,2014/15,150.000
France,Wales,All,2014/15,735.000
France,Wales,First year,2013/14,620.000
France,Wales,Other years,2013/14,140.000
France,Wales,All,2013/14,760.000
France,Wales,First year,2012/13,620.000
France,Wales,Other years,2012/13,130.000
France,Wales,All,2012/13,750.000
French Guiana,All,All,2016/17,0.000
French Guiana,All,First year,2016/17,0.000
French Guiana,All,Other years,2016/17,0.000
French Guiana,All,All,2015/16,0.000
French Guiana,All,First year,2015/16,0.000
French Guiana,All,Other years,2015/16,0.000
French Guiana,All,All,2014/15,0.000
French Guiana,All,First year,2014/15,0.000
French Guiana,All,Other years,2014/15,0.000
French Guiana,All,All,2013/14,0.000
French Guiana,All,First year,2013/14,0.000
French Guiana,All,Other years,2013/14,0.000
French Guiana,All,All,2012/13,0.000
French Guiana,All,First year,2012/13,0.000
French Guiana,All,Other years,2012/13,0.000
French Guiana,England,First year,2016/17,0.000
French Guiana,England,Other years,2016/17,0.000
French Guiana,England,All,2016/17,0.000
French Guiana,England,First year,2015/16,0.000
French Guiana,England,Other years,2015/16,0.000
French Guiana,England,All,2015/16,0.000
French Guiana,England,First year,2014/15,0.000
French Guiana,England,Other years,2014/15,0.000
French Guiana,England,All,2014/15,0.000
French Guiana,England,First year,2013/14,0.000
French Guiana,England,Other years,2013/14,0.000
French Guiana,England,All,2013/14,0.000
French Guiana,England,First year,2012/13,0.000
French Guiana,England,Other years,2012/13,0.000
French Guiana,England,All,2012/13,0.000
French Guiana,Northern Ireland,First year,2016/17,0.000
French Guiana,Northern Ireland,Other years,2016/17,0.000
French Guiana,Northern Ireland,All,2016/17,0.000
French Guiana,Northern Ireland,First year,2015/16,0.000
French Guiana,Northern Ireland,Other years,2015/16,0.000
French Guiana,Northern Ireland,All,2015/16,0.000
French Guiana,Northern Ireland,First year,2014/15,0.000
French Guiana,Northern Ireland,Other years,2014/15,0.000
French Guiana,Northern Ireland,All,2014/15,0.000
French Guiana,Northern Ireland,First year,2013/14,0.000
French Guiana,Northern Ireland,Other years,2013/14,0.000
French Guiana,Northern Ireland,All,2013/14,0.000
French Guiana,Northern Ireland,First year,2012/13,0.000
French Guiana,Northern Ireland,Other years,2012/13,0.000
French Guiana,Northern Ireland,All,2012/13,0.000
French Guiana,Scotland,First year,2016/17,0.000
French Guiana,Scotland,Other years,2016/17,0.000
French Guiana,Scotland,All,2016/17,0.000
French Guiana,Scotland,First year,2015/16,0.000
French Guiana,Scotland,Other years,2015/16,0.000
French Guiana,Scotland,All,2015/16,0.000
French Guiana,Scotland,First year,2014/15,0.000
French Guiana,Scotland,Other years,2014/15,0.000
French Guiana,Scotland,All,2014/15,0.000
French Guiana,Scotland,First year,2013/14,0.000
French Guiana,Scotland,Other years,2013/14,0.000
French Guiana,Scotland,All,2013/14,0.000
French Guiana,Scotland,First year,2012/13,0.000
French Guiana,Scotland,Other years,2012/13,0.000
French Guiana,Scotland,All,2012/13,0.000
French Guiana,Wales,First year,2016/17,0.000
French Guiana,Wales,Other years,2016/17,0.000
French Guiana,Wales,All,2016/17,0.000
French Guiana,Wales,First year,2015/16,0.000
French Guiana,Wales,Other years,2015/16,0.000
French Guiana,Wales,All,2015/16,0.000
French Guiana,Wales,First year,2014/15,0.000
French Guiana,Wales,Other years,2014/15,0.000
French Guiana,Wales,All,2014/15,0.000
French Guiana,Wales,First year,2013/14,0.000
French Guiana,Wales,Other years,2013/14,0.000
French Guiana,Wales,All,2013/14,0.000
French Guiana,Wales,First year,2012/13,0.000
French Guiana,Wales,Other years,2012/13,0.000
French Guiana,Wales,All,2012/13,0.000
Germany,All,All,2016/17,13735.000
Germany,All,First year,2016/17,7665.000
Germany,All,Other years,2016/17,6075.000
Germany,All,All,2015/16,13425.000
Germany,All,First year,2015/16,7250.000
Germany,All,Other years,2015/16,6175.000
Germany,All,All,2014/15,13675.000
Germany,All,First year,2014/15,7480.000
Germany,All,Other years,2014/15,6195.000
Germany,All,All,2013/14,14060.000
Germany,All,First year,2013/14,7445.000
Germany,All,Other years,2013/14,6615.000
Germany,All,All,2012/13,14530.000
Germany,All,First year,2012/13,7655.000
Germany,All,Other years,2012/13,6875.000
Germany,England,First year,2016/17,5275.000
Germany,England,Other years,2016/17,4575.000
Germany,England,All,2016/17,9845.000
Germany,England,First year,2015/16,5020.000
Germany,England,Other years,2015/16,4575.000
Germany,England,All,2015/16,9595.000
Germany,England,First year,2014/15,5350.000
Germany,England,Other years,2014/15,4630.000
Germany,England,All,2014/15,9980.000
Germany,England,First year,2013/14,5175.000
Germany,England,Other years,2013/14,5180.000
Germany,England,All,2013/14,10355.000
Germany,England,First year,2012/13,5430.000
Germany,England,Other years,2012/13,5545.000
Germany,England,All,2012/13,10975.000
Germany,Northern Ireland,First year,2016/17,40.000
Germany,Northern Ireland,Other years,2016/17,20.000
Germany,Northern Ireland,All,2016/17,60.000
Germany,Northern Ireland,First year,2015/16,25.000
Germany,Northern Ireland,Other years,2015/16,50.000
Germany,Northern Ireland,All,2015/16,70.000
Germany,Northern Ireland,First year,2014/15,55.000
Germany,Northern Ireland,Other years,2014/15,50.000
Germany,Northern Ireland,All,2014/15,105.000
Germany,Northern Ireland,First year,2013/14,55.000
Germany,Northern Ireland,Other years,2013/14,50.000
Germany,Northern Ireland,All,2013/14,100.000
Germany,Northern Ireland,First year,2012/13,55.000
Germany,Northern Ireland,Other years,2012/13,40.000
Germany,Northern Ireland,All,2012/13,95.000
Germany,Scotland,First year,2016/17,1560.000
Germany,Scotland,Other years,2016/17,1245.000
Germany,Scotland,All,2016/17,2805.000
Germany,Scotland,First year,2015/16,1620.000
Germany,Scotland,Other years,2015/16,1320.000
Germany,Scotland,All,2015/16,2940.000
Germany,Scotland,First year,2014/15,1500.000
Germany,Scotland,Other years,2014/15,1255.000
Germany,Scotland,All,2014/15,2755.000
Germany,Scotland,First year,2013/14,1430.000
Germany,Scotland,Other years,2013/14,1125.000
Germany,Scotland,All,2013/14,2555.000
Germany,Scotland,First year,2012/13,1470.000
Germany,Scotland,Other years,2012/13,1045.000
Germany,Scotland,All,2012/13,2515.000
Germany,Wales,First year,2016/17,790.000
Germany,Wales,Other years,2016/17,235.000
Germany,Wales,All,2016/17,1025.000
Germany,Wales,First year,2015/16,585.000
Germany,Wales,Other years,2015/16,235.000
Germany,Wales,All,2015/16,815.000
Germany,Wales,First year,2014/15,575.000
Germany,Wales,Other years,2014/15,260.000
Germany,Wales,All,2014/15,835.000
Germany,Wales,First year,2013/14,790.000
Germany,Wales,Other years,2013/14,260.000
Germany,Wales,All,2013/14,1050.000
Germany,Wales,First year,2012/13,700.000
Germany,Wales,Other years,2012/13,250.000
Germany,Wales,All,2012/13,945.000
Gibraltar,All,All,2016/17,915.000
Gibraltar,All,First year,2016/17,410.000
Gibraltar,All,Other years,2016/17,505.000
Gibraltar,All,All,2015/16,855.000
Gibraltar,All,First year,2015/16,365.000
Gibraltar,All,Other years,2015/16,490.000
Gibraltar,All,All,2014/15,800.000
Gibraltar,All,First year,2014/15,320.000
Gibraltar,All,Other years,2014/15,480.000
Gibraltar,All,All,2013/14,790.000
Gibraltar,All,First year,2013/14,345.000
Gibraltar,All,Other years,2013/14,450.000
Gibraltar,All,All,2012/13,730.000
Gibraltar,All,First year,2012/13,285.000
Gibraltar,All,Other years,2012/13,445.000
Gibraltar,England,First year,2016/17,350.000
Gibraltar,England,Other years,2016/17,425.000
