Title,Top ten European-Union countries of domicile (excluding the UK) in 2016/17 for HE student enrolments,,,
Location,UK,,,
Time period,2012/13 to 2016/17,,,
Data source,HESA,,,
Data source link,https://www.hesa.ac.uk/data-and-analysis/sfr247/figure-10,,,
Data file canonical link,https://www.hesa.ac.uk/data-and-analysis/sfr247/figure-10.csv,,,
Licence,Creative Commons Attribution 4.0 International Licence,,,
Code page,ISO 8859-1,,,
Last updated,Jan-18,,,
,,,,
Country of domicile,Country of HE provider,First year marker,Academic year,Student count
Belgium,Wales,All,2015/16,85.000
Belgium,Wales,First year,2014/15,30.000
Belgium,Wales,Other years,2014/15,30.000
Belgium,Wales,All,2014/15,60.000
Belgium,Wales,First year,2013/14,20.000
Belgium,Wales,Other years,2013/14,35.000
Belgium,Wales,All,2013/14,55.000
Belgium,Wales,First year,2012/13,35.000
Belgium,Wales,Other years,2012/13,35.000
Belgium,Wales,All,2012/13,70.000
Bulgaria,All,All,2016/17,6290.000
Bulgaria,All,First year,2016/17,2360.000
Bulgaria,All,Other years,2016/17,3930.000
Bulgaria,All,All,2015/16,6195.000
Bulgaria,All,First year,2015/16,2050.000
Bulgaria,All,Other years,2015/16,4145.000
Bulgaria,All,All,2014/15,6255.000
Bulgaria,All,First year,2014/15,2210.000
Bulgaria,All,Other years,2014/15,4050.000
Bulgaria,All,All,2013/14,6355.000
Bulgaria,All,First year,2013/14,2320.000
Bulgaria,All,Other years,2013/14,4035.000
Bulgaria,All,All,2012/13,6065.000
Bulgaria,All,First year,2012/13,2300.000
Bulgaria,All,Other years,2012/13,3760.000
Bulgaria,England,First year,2016/17,1905.000
Bulgaria,England,Other years,2016/17,2735.000
Bulgaria,England,All,2016/17,4640.000
Bulgaria,England,First year,2015/16,1635.000
Bulgaria,England,Other years,2015/16,2725.000
Bulgaria,England,All,2015/16,4360.000
Bulgaria,England,First year,2014/15,1610.000
Bulgaria,England,Other years,2014/15,2695.000
Bulgaria,England,All,2014/15,4310.000
Bulgaria,England,First year,2013/14,1715.000
Bulgaria,England,Other years,2013/14,2850.000
Bulgaria,England,All,2013/14,4565.000
Bulgaria,England,First year,2012/13,1635.000
Bulgaria,England,Other years,2012/13,2875.000
Bulgaria,England,All,2012/13,4510.000
Bulgaria,Northern Ireland,First year,2016/17,5.000
Bulgaria,Northern Ireland,Other years,2016/17,5.000
Bulgaria,Northern Ireland,All,2016/17,10.000
Bulgaria,Northern Ireland,First year,2015/16,0.000
Bulgaria,Northern Ireland,Other years,2015/16,5.000
Bulgaria,Northern Ireland,All,2015/16,10.000
Bulgaria,Northern Ireland,First year,2014/15,5.000
Bulgaria,Northern Ireland,Other years,2014/15,5.000
Bulgaria,Northern Ireland,All,2014/15,10.000
Bulgaria,Northern Ireland,First year,2013/14,5.000
Bulgaria,Northern Ireland,Other years,2013/14,5.000
Bulgaria,Northern Ireland,All,2013/14,10.000
Bulgaria,Northern Ireland,First year,2012/13,5.000
Bulgaria,Northern Ireland,Other years,2012/13,25.000
Bulgaria,Northern Ireland,All,2012/13,25.000
Bulgaria,Scotland,First year,2016/17,330.000
Bulgaria,Scotland,Other years,2016/17,1005.000
Bulgaria,Scotland,All,2016/17,1335.000
Bulgaria,Scotland,First year,2015/16,310.000
Bulgaria,Scotland,Other years,2015/16,1205.000
Bulgaria,Scotland,All,2015/16,1515.000
Bulgaria,Scotland,First year,2014/15,450.000
Bulgaria,Scotland,Other years,2014/15,1175.000
Bulgaria,Scotland,All,2014/15,1625.000
Bulgaria,Scotland,First year,2013/14,465.000
Bulgaria,Scotland,Other years,2013/14,1030.000
Bulgaria,Scotland,All,2013/14,1495.000
Bulgaria,Scotland,First year,2012/13,550.000
Bulgaria,Scotland,Other years,2012/13,715.000
Bulgaria,Scotland,All,2012/13,1265.000
Bulgaria,Wales,First year,2016/17,125.000
Bulgaria,Wales,Other years,2016/17,185.000
Bulgaria,Wales,All,2016/17,310.000
Bulgaria,Wales,First year,2015/16,105.000
Bulgaria,Wales,Other years,2015/16,210.000
Bulgaria,Wales,All,2015/16,310.000
Bulgaria,Wales,First year,2014/15,140.000
Bulgaria,Wales,Other years,2014/15,175.000
Bulgaria,Wales,All,2014/15,315.000
Bulgaria,Wales,First year,2013/14,135.000
Bulgaria,Wales,Other years,2013/14,150.000
Bulgaria,Wales,All,2013/14,285.000
Bulgaria,Wales,First year,2012/13,110.000
Bulgaria,Wales,Other years,2012/13,150.000
Bulgaria,Wales,All,2012/13,260.000
Canary Islands,All,All,2016/17,115.000
Canary Islands,All,First year,2016/17,50.000
