Year,CountryOfNationality,TotalStudy
2005 Q1,Afghanistan,8
2005 Q1,Albania,27
2005 Q1,Algeria,38
2005 Q1,American Samoa,0
2005 Q1,Andorra,0
2005 Q1,Angola,59
2005 Q1,Anguilla (British),0
2005 Q1,Antigua and Barbuda,1
2005 Q1,Argentina,28
2005 Q1,Armenia,21
2005 Q1,Aruba,0
2005 Q1,Australia,54
2005 Q1,Austria,0
2005 Q1,Azerbaijan,54
2005 Q1,"Bahamas, The",8
2005 Q1,Bahrain,57
2005 Q1,Bangladesh,709
2005 Q1,Barbados,16
2005 Q1,Belarus,75
2005 Q1,Belgium,0
2005 Q1,Belize,0
2005 Q1,Benin,10
2005 Q1,Bermuda (British),0
2005 Q1,Bhutan,5
2005 Q1,Bolivia,13
2005 Q1,"Bonaire, Sint Eustatius and Saba",0
2005 Q1,Bosnia and Herzegovina,17
2005 Q1,Botswana,19
2005 Q1,Brazil,590
2005 Q1,British overseas citizens,2
2005 Q1,Brunei,17
2005 Q1,Bulgaria,64
2005 Q1,Burkina,4
2005 Q1,Burma,87
2005 Q1,Burundi,3
2005 Q1,Cambodia,9
2005 Q1,Cameroon,88
2005 Q1,Canada,78
2005 Q1,Cape Verde,3
2005 Q1,Cayman Islands (British),0
2005 Q1,Central African Republic,0
2005 Q1,Chad,0
2005 Q1,Chile,35
2005 Q1,China,"1,777"
2005 Q1,Christmas Island,0
2005 Q1,Cocos (Keeling) Islands,0
2005 Q1,Colombia,628
2005 Q1,Comoros,2
2005 Q1,Congo,11
2005 Q1,Congo (Democratic Republic),5
2005 Q1,Cook Islands,0
2005 Q1,Costa Rica,1
2005 Q1,Croatia,64
2005 Q1,Cuba,8
2005 Q1,Curacao,0
2005 Q1,Cyprus,2
2005 Q1,Cyprus (Northern part of),0
2005 Q1,Czech Republic,0
2005 Q1,Denmark,0
2005 Q1,Djibouti,2
2005 Q1,Dominica,4
2005 Q1,Dominican Republic,5
2005 Q1,East Timor,0
2005 Q1,Ecuador,40
2005 Q1,Egypt,214
2005 Q1,El Salvador,5
2005 Q1,Equatorial Guinea,7
2005 Q1,Eritrea,3
2005 Q1,Estonia,0
2005 Q1,Ethiopia,18
2005 Q1,Falkland Islands (British),0
2005 Q1,Faroe Islands,0
2005 Q1,Fiji,2
2005 Q1,Finland,0
2005 Q1,Former Yugoslavia,0
2005 Q1,France,0
2005 Q1,French Guiana,0
2005 Q1,French Polynesia,0
2005 Q1,Gabon,11
2005 Q1,"Gambia, The",109
2005 Q1,Georgia,39
2005 Q1,Germany,0
2005 Q1,Ghana,293
2005 Q1,Gibraltar (British),0
2005 Q1,Greece,0
2005 Q1,Greenland,0
2005 Q1,Grenada,6
2005 Q1,Guadeloupe,0
2005 Q1,Guam,0
2005 Q1,Guatemala,2
2005 Q1,Guinea,12
2005 Q1,Guinea-Bissau,2
2005 Q1,Guyana,16
2005 Q1,Haiti,4
2005 Q1,Heard Island and McDonald Islands,0
2005 Q1,Honduras,3
2005 Q1,Hong Kong,187
2005 Q1,Hungary,0
2005 Q1,Iceland,0
2005 Q1,India,"3,637"
2005 Q1,Indonesia,115
2005 Q1,Iran,252
2005 Q1,Iraq,33
2005 Q1,Ireland,0
2005 Q1,Israel,224
2005 Q1,Italy,0
2005 Q1,Ivory Coast,40
2005 Q1,Jamaica,23
2005 Q1,Japan,"1,888"
2005 Q1,Jordan,101
2005 Q1,Kazakhstan,115
2005 Q1,Kenya,94
2005 Q1,Kiribati,1
2005 Q1,Korea (North),2
2005 Q1,Korea (South),"2,159"
2005 Q1,Kosovo,0
2005 Q1,Kuwait,95
2005 Q1,Kyrgyzstan,17
2005 Q1,Laos,3
2005 Q1,Latvia,0
2005 Q1,Lebanon,35
2005 Q1,Lesotho,0
2005 Q1,Liberia,0
2005 Q1,Libya,"1,188"
2005 Q1,Liechtenstein,0
2005 Q1,Lithuania,0
2005 Q1,Luxembourg,0
2005 Q1,Macau,8
2005 Q1,Macedonia,8
2005 Q1,Madagascar,7
2005 Q1,Malawi,133
2005 Q1,Malaysia,479
2005 Q1,Maldives,1
2005 Q1,Mali,5
2005 Q1,Malta,0
2005 Q1,Marshall Islands,0
2005 Q1,Martinique,0
2005 Q1,Mauritania,3
2005 Q1,Mauritius,268
2005 Q1,Mayotte,0
2005 Q1,Mexico,147
2005 Q1,Micronesia,0
2005 Q1,Moldova,21
2005 Q1,Monaco,0
2005 Q1,Mongolia,26
2005 Q1,Montenegro,0
2005 Q1,Montserrat (British),0
2005 Q1,Morocco,71
2005 Q1,Mozambique,10
2005 Q1,Namibia,7
2005 Q1,Nauru,0
2005 Q1,Nepal,102
2005 Q1,Netherlands,0
2005 Q1,Netherlands Antilles,0
2005 Q1,New Caledonia,0
2005 Q1,New Zealand,15
2005 Q1,Nicaragua,0
2005 Q1,Niger,4
2005 Q1,Nigeria,"1,400"
2005 Q1,Niue,0
2005 Q1,Norfolk Island,0
2005 Q1,Northern Mariana Islands,0
2005 Q1,Norway,0
2005 Q1,Occupied Palestinian Territories,24
2005 Q1,Oman,102
2005 Q1,Other and unknown,20
2005 Q1,Pakistan,"1,652"
2005 Q1,Palau,0
2005 Q1,Panama,3
2005 Q1,Papua New Guinea,3
2005 Q1,Paraguay,4
2005 Q1,Peru,87
2005 Q1,Philippines,383
2005 Q1,Pitcairn Islands (British),0
2005 Q1,Poland,0
2005 Q1,Portugal,0
2005 Q1,Puerto Rico,0
2005 Q1,Qatar,89
2005 Q1,Refugee,0
2005 Q1,Reunion,0
2005 Q1,Romania,107
2005 Q1,Russia,234
2005 Q1,Rwanda,4
2005 Q1,Samoa,0
2005 Q1,San Marino,0
2005 Q1,Sao Tome and Principe,13
2005 Q1,Saudi Arabia,466
2005 Q1,Senegal,13
2005 Q1,Serbia,0
2005 Q1,Serbia and Montenegro,100
2005 Q1,Seychelles,4
2005 Q1,Sierra Leone,34
2005 Q1,Singapore,38
2005 Q1,Slovakia,0
2005 Q1,Slovenia,0
2005 Q1,Solomon Islands,4
2005 Q1,Somalia,1
2005 Q1,South Africa,84
2005 Q1,South Georgia and South Sandwich Islands,0
2005 Q1,Spain,1
2005 Q1,Sri Lanka,510
2005 Q1,St. Helena (British),0
2005 Q1,St. Kitts and Nevis,1
2005 Q1,St. Lucia,18
2005 Q1,St. Maarten (Dutch Part),0
2005 Q1,St. Martin (French Part),0
2005 Q1,St. Pierre and Miquelon,0
2005 Q1,St. Vincent and the Grenadines,6
2005 Q1,Stateless,4
2005 Q1,Sudan,86
2005 Q1,Sudan (South),0
2005 Q1,Surinam,0
2005 Q1,Svalbard and Jan Mayen,0
2005 Q1,Swaziland,1
2005 Q1,Sweden,0
2005 Q1,Switzerland,0
2005 Q1,Syria,117
2005 Q1,Taiwan,765
2005 Q1,Tajikistan,2
2005 Q1,Tanzania,126
2005 Q1,Thailand,555
2005 Q1,Togo,5
2005 Q1,Tokelau,0
2005 Q1,Tonga,0
2005 Q1,Trinidad and Tobago,46
2005 Q1,Tunisia,22
2005 Q1,Turkey,552
2005 Q1,Turkmenistan,62
2005 Q1,Turks and Caicos Islands (British),0
2005 Q1,Tuvalu,0
2005 Q1,Uganda,109
2005 Q1,Ukraine,81
2005 Q1,United Arab Emirates,253
2005 Q1,United States,477
2005 Q1,Uruguay,2
2005 Q1,Uzbekistan,61
2005 Q1,Vanuatu,0
2005 Q1,Vatican City,0
2005 Q1,Venezuela,50
2005 Q1,Vietnam,145
2005 Q1,Virgin Islands (British),0
2005 Q1,Virgin Islands (US),0
2005 Q1,Wallis and Futuna,0
2005 Q1,Western Sahara,0
2005 Q1,Yemen,54
2005 Q1,Zambia,139
2005 Q1,Zimbabwe,198
2005 Q2,Afghanistan,10
2005 Q2,Albania,34
2005 Q2,Algeria,29
2005 Q2,American Samoa,0
2005 Q2,Andorra,0
2005 Q2,Angola,56
2005 Q2,Anguilla (British),0
2005 Q2,Antigua and Barbuda,1
2005 Q2,Argentina,36
2005 Q2,Armenia,36
2005 Q2,Aruba,0
2005 Q2,Australia,101
2005 Q2,Austria,0
2005 Q2,Azerbaijan,141
2005 Q2,"Bahamas, The",11
2005 Q2,Bahrain,69
2005 Q2,Bangladesh,765
2005 Q2,Barbados,8
2005 Q2,Belarus,410
2005 Q2,Belgium,0
2005 Q2,Belize,4
2005 Q2,Benin,7
2005 Q2,Bermuda (British),1
2005 Q2,Bhutan,1
2005 Q2,Bolivia,34
2005 Q2,"Bonaire, Sint Eustatius and Saba",0
2005 Q2,Bosnia and Herzegovina,56
2005 Q2,Botswana,23
2005 Q2,Brazil,"1,427"
2005 Q2,British overseas citizens,2
2005 Q2,Brunei,18
2005 Q2,Bulgaria,89
2005 Q2,Burkina,5
2005 Q2,Burma,79
2005 Q2,Burundi,0
2005 Q2,Cambodia,3
2005 Q2,Cameroon,68
2005 Q2,Canada,267
2005 Q2,Cape Verde,1
2005 Q2,Cayman Islands (British),0
2005 Q2,Central African Republic,0
2005 Q2,Chad,3
2005 Q2,Chile,39
2005 Q2,China,"3,495"
2005 Q2,Christmas Island,0
2005 Q2,Cocos (Keeling) Islands,0
2005 Q2,Colombia,801
2005 Q2,Comoros,1
2005 Q2,Congo,13
2005 Q2,Congo (Democratic Republic),16
2005 Q2,Cook Islands,0
2005 Q2,Costa Rica,0
2005 Q2,Croatia,370
2005 Q2,Cuba,9
2005 Q2,Curacao,0
2005 Q2,Cyprus,8
2005 Q2,Cyprus (Northern part of),0
2005 Q2,Czech Republic,1
2005 Q2,Denmark,0
2005 Q2,Djibouti,3
2005 Q2,Dominica,3
2005 Q2,Dominican Republic,9
2005 Q2,East Timor,0
2005 Q2,Ecuador,72
2005 Q2,Egypt,180
2005 Q2,El Salvador,0
2005 Q2,Equatorial Guinea,2
2005 Q2,Eritrea,0
2005 Q2,Estonia,0
2005 Q2,Ethiopia,18
2005 Q2,Falkland Islands (British),0
2005 Q2,Faroe Islands,0
2005 Q2,Fiji,2
2005 Q2,Finland,0
2005 Q2,Former Yugoslavia,0
2005 Q2,France,0
2005 Q2,French Guiana,0
2005 Q2,French Polynesia,0
2005 Q2,Gabon,10
2005 Q2,"Gambia, The",118
2005 Q2,Georgia,38
2005 Q2,Germany,0
2005 Q2,Ghana,212
2005 Q2,Gibraltar (British),0
2005 Q2,Greece,0
2005 Q2,Greenland,0
2005 Q2,Grenada,7
2005 Q2,Guadeloupe,0
2005 Q2,Guam,0
2005 Q2,Guatemala,5
2005 Q2,Guinea,18
2005 Q2,Guinea-Bissau,0
2005 Q2,Guyana,19
2005 Q2,Haiti,4
2005 Q2,Heard Island and McDonald Islands,0
2005 Q2,Honduras,1
2005 Q2,Hong Kong,399
2005 Q2,Hungary,0
2005 Q2,Iceland,0
2005 Q2,India,"2,976"
2005 Q2,Indonesia,110
2005 Q2,Iran,333
2005 Q2,Iraq,36
2005 Q2,Ireland,1
2005 Q2,Israel,509
2005 Q2,Italy,0
2005 Q2,Ivory Coast,20
2005 Q2,Jamaica,49
2005 Q2,Japan,"2,101"
2005 Q2,Jordan,202
2005 Q2,Kazakhstan,"1,228"
2005 Q2,Kenya,86
2005 Q2,Kiribati,0
2005 Q2,Korea (North),0
2005 Q2,Korea (South),"1,877"
2005 Q2,Kosovo,0
2005 Q2,Kuwait,152
2005 Q2,Kyrgyzstan,24
2005 Q2,Laos,3
2005 Q2,Latvia,0
2005 Q2,Lebanon,52
2005 Q2,Lesotho,2
2005 Q2,Liberia,0
2005 Q2,Libya,"1,245"
2005 Q2,Liechtenstein,0
2005 Q2,Lithuania,0
2005 Q2,Luxembourg,0
2005 Q2,Macau,13
2005 Q2,Macedonia,23
2005 Q2,Madagascar,7
2005 Q2,Malawi,102
2005 Q2,Malaysia,629
2005 Q2,Maldives,3
2005 Q2,Mali,2
2005 Q2,Malta,0
2005 Q2,Marshall Islands,0
2005 Q2,Martinique,0
2005 Q2,Mauritania,4
2005 Q2,Mauritius,393
2005 Q2,Mayotte,0
2005 Q2,Mexico,158
2005 Q2,Micronesia,0
2005 Q2,Moldova,22
2005 Q2,Monaco,0
2005 Q2,Mongolia,16
2005 Q2,Montenegro,0
2005 Q2,Montserrat (British),0
2005 Q2,Morocco,54
2005 Q2,Mozambique,13
2005 Q2,Namibia,3
2005 Q2,Nauru,0
2005 Q2,Nepal,108
2005 Q2,Netherlands,0
2005 Q2,Netherlands Antilles,0
2005 Q2,New Caledonia,0
2005 Q2,New Zealand,34
2005 Q2,Nicaragua,0
2005 Q2,Niger,1
2005 Q2,Nigeria,974
2005 Q2,Niue,0
2005 Q2,Norfolk Island,0
2005 Q2,Northern Mariana Islands,0
2005 Q2,Norway,0
2005 Q2,Occupied Palestinian Territories,45
2005 Q2,Oman,244
2005 Q2,Other and unknown,20
2005 Q2,Pakistan,"1,340"
2005 Q2,Palau,0
2005 Q2,Panama,5
2005 Q2,Papua New Guinea,0
2005 Q2,Paraguay,0
2005 Q2,Peru,77
2005 Q2,Philippines,335
2005 Q2,Pitcairn Islands (British),0
2005 Q2,Poland,0
2005 Q2,Portugal,0
2005 Q2,Puerto Rico,0
2005 Q2,Qatar,145
2005 Q2,Refugee,1
2005 Q2,Reunion,0
2005 Q2,Romania,166
2005 Q2,Russia,741
2005 Q2,Rwanda,13
2005 Q2,Samoa,1
2005 Q2,San Marino,0
2005 Q2,Sao Tome and Principe,7
2005 Q2,Saudi Arabia,"1,070"
2005 Q2,Senegal,10
2005 Q2,Serbia,0
2005 Q2,Serbia and Montenegro,763
2005 Q2,Seychelles,14
2005 Q2,Sierra Leone,38
2005 Q2,Singapore,86
2005 Q2,Slovakia,0
2005 Q2,Slovenia,0
2005 Q2,Solomon Islands,0
2005 Q2,Somalia,0
2005 Q2,South Africa,82
2005 Q2,South Georgia and South Sandwich Islands,0
2005 Q2,Spain,0
2005 Q2,Sri Lanka,217
2005 Q2,St. Helena (British),0
2005 Q2,St. Kitts and Nevis,3
2005 Q2,St. Lucia,12
2005 Q2,St. Maarten (Dutch Part),0
2005 Q2,St. Martin (French Part),0
2005 Q2,St. Pierre and Miquelon,0
2005 Q2,St. Vincent and the Grenadines,7
2005 Q2,Stateless,18
2005 Q2,Sudan,63
2005 Q2,Sudan (South),0
2005 Q2,Surinam,0
2005 Q2,Svalbard and Jan Mayen,0
2005 Q2,Swaziland,2
2005 Q2,Sweden,0
2005 Q2,Switzerland,0
2005 Q2,Syria,189
2005 Q2,Taiwan,"4,926"
2005 Q2,Tajikistan,23
2005 Q2,Tanzania,77
2005 Q2,Thailand,772
2005 Q2,Togo,3
2005 Q2,Tokelau,0
2005 Q2,Tonga,0
2005 Q2,Trinidad and Tobago,84
2005 Q2,Tunisia,19
2005 Q2,Turkey,"3,250"
2005 Q2,Turkmenistan,135
2005 Q2,Turks and Caicos Islands (British),0
2005 Q2,Tuvalu,0
2005 Q2,Uganda,67
2005 Q2,Ukraine,230
2005 Q2,United Arab Emirates,202
2005 Q2,United States,"1,214"
2005 Q2,Uruguay,0
2005 Q2,Uzbekistan,197
2005 Q2,Vanuatu,0
2005 Q2,Vatican City,0
2005 Q2,Venezuela,61
2005 Q2,Vietnam,329
2005 Q2,Virgin Islands (British),0
2005 Q2,Virgin Islands (US),0
2005 Q2,Wallis and Futuna,0
2005 Q2,Western Sahara,0
2005 Q2,Yemen,52
2005 Q2,Zambia,66
2005 Q2,Zimbabwe,168
2005 Q3,Afghanistan,40
2005 Q3,Albania,179
2005 Q3,Algeria,124
2005 Q3,American Samoa,0
2005 Q3,Andorra,0
2005 Q3,Angola,141
2005 Q3,Anguilla (British),0
2005 Q3,Antigua and Barbuda,6
2005 Q3,Argentina,85
2005 Q3,Armenia,61
2005 Q3,Aruba,0
2005 Q3,Australia,474
2005 Q3,Austria,0
2005 Q3,Azerbaijan,229
2005 Q3,"Bahamas, The",61
2005 Q3,Bahrain,433
2005 Q3,Bangladesh,"1,530"
2005 Q3,Barbados,141
2005 Q3,Belarus,140
2005 Q3,Belgium,0
2005 Q3,Belize,11
2005 Q3,Benin,11
2005 Q3,Bermuda (British),0
2005 Q3,Bhutan,12
2005 Q3,Bolivia,60
2005 Q3,"Bonaire, Sint Eustatius and Saba",0
2005 Q3,Bosnia and Herzegovina,67
2005 Q3,Botswana,197
2005 Q3,Brazil,"1,628"
2005 Q3,British overseas citizens,1
2005 Q3,Brunei,416
2005 Q3,Bulgaria,405
2005 Q3,Burkina,11
2005 Q3,Burma,142
2005 Q3,Burundi,1
2005 Q3,Cambodia,12
2005 Q3,Cameroon,199
2005 Q3,Canada,"2,002"
2005 Q3,Cape Verde,2
2005 Q3,Cayman Islands (British),4
2005 Q3,Central African Republic,1
2005 Q3,Chad,3
2005 Q3,Chile,143
2005 Q3,China,"11,963"
2005 Q3,Christmas Island,0
2005 Q3,Cocos (Keeling) Islands,0
2005 Q3,Colombia,664
2005 Q3,Comoros,1
2005 Q3,Congo,21
2005 Q3,Congo (Democratic Republic),22
2005 Q3,Cook Islands,0
2005 Q3,Costa Rica,14
2005 Q3,Croatia,285
2005 Q3,Cuba,16
2005 Q3,Curacao,0
2005 Q3,Cyprus,14
2005 Q3,Cyprus (Northern part of),0
2005 Q3,Czech Republic,0
2005 Q3,Denmark,0
2005 Q3,Djibouti,1
2005 Q3,Dominica,22
2005 Q3,Dominican Republic,11
2005 Q3,East Timor,0
2005 Q3,Ecuador,94
2005 Q3,Egypt,382
2005 Q3,El Salvador,14
2005 Q3,Equatorial Guinea,3
2005 Q3,Eritrea,3
2005 Q3,Estonia,0
2005 Q3,Ethiopia,95
2005 Q3,Falkland Islands (British),0
2005 Q3,Faroe Islands,0
2005 Q3,Fiji,13
2005 Q3,Finland,0
2005 Q3,Former Yugoslavia,0
2005 Q3,France,0
2005 Q3,French Guiana,0
2005 Q3,French Polynesia,0
2005 Q3,Gabon,8
2005 Q3,"Gambia, The",229
2005 Q3,Georgia,123
2005 Q3,Germany,0
2005 Q3,Ghana,748
2005 Q3,Gibraltar (British),0
2005 Q3,Greece,0
2005 Q3,Greenland,0
2005 Q3,Grenada,27
2005 Q3,Guadeloupe,0
2005 Q3,Guam,0
2005 Q3,Guatemala,12
2005 Q3,Guinea,33
2005 Q3,Guinea-Bissau,1
2005 Q3,Guyana,53
2005 Q3,Haiti,6
2005 Q3,Heard Island and McDonald Islands,0
2005 Q3,Honduras,6
2005 Q3,Hong Kong,"4,362"
2005 Q3,Hungary,0
2005 Q3,Iceland,1
2005 Q3,India,"11,663"
2005 Q3,Indonesia,463
2005 Q3,Iran,776
2005 Q3,Iraq,112
2005 Q3,Ireland,0
2005 Q3,Israel,"1,118"
2005 Q3,Italy,0
2005 Q3,Ivory Coast,39
2005 Q3,Jamaica,140
2005 Q3,Japan,"3,661"
2005 Q3,Jordan,583
2005 Q3,Kazakhstan,944
2005 Q3,Kenya,598
2005 Q3,Kiribati,0
2005 Q3,Korea (North),5
2005 Q3,Korea (South),"3,197"
2005 Q3,Kosovo,0
2005 Q3,Kuwait,390
2005 Q3,Kyrgyzstan,55
2005 Q3,Laos,5
2005 Q3,Latvia,0
2005 Q3,Lebanon,230
2005 Q3,Lesotho,7
2005 Q3,Liberia,7
2005 Q3,Libya,"1,618"
2005 Q3,Liechtenstein,0
2005 Q3,Lithuania,0
2005 Q3,Luxembourg,0
2005 Q3,Macau,54
2005 Q3,Macedonia,42
2005 Q3,Madagascar,11
2005 Q3,Malawi,352
2005 Q3,Malaysia,"3,543"
2005 Q3,Maldives,90
2005 Q3,Mali,7
2005 Q3,Malta,0
2005 Q3,Marshall Islands,0
2005 Q3,Martinique,0
2005 Q3,Mauritania,6
2005 Q3,Mauritius,793
2005 Q3,Mayotte,0
2005 Q3,Mexico,872
2005 Q3,Micronesia,0
2005 Q3,Moldova,80
2005 Q3,Monaco,0
2005 Q3,Mongolia,92
2005 Q3,Montenegro,0
2005 Q3,Montserrat (British),0
2005 Q3,Morocco,218
2005 Q3,Mozambique,37
2005 Q3,Namibia,23
2005 Q3,Nauru,0
2005 Q3,Nepal,281
2005 Q3,Netherlands,0
2005 Q3,Netherlands Antilles,0
2005 Q3,New Caledonia,0
2005 Q3,New Zealand,103
2005 Q3,Nicaragua,3
2005 Q3,Niger,8
2005 Q3,Nigeria,"3,812"
2005 Q3,Niue,0
2005 Q3,Norfolk Island,0
2005 Q3,Northern Mariana Islands,0
2005 Q3,Norway,0
2005 Q3,Occupied Palestinian Territories,94
2005 Q3,Oman,787
2005 Q3,Other and unknown,48
2005 Q3,Pakistan,"5,167"
2005 Q3,Palau,0
2005 Q3,Panama,14
2005 Q3,Papua New Guinea,8
2005 Q3,Paraguay,8
2005 Q3,Peru,156
2005 Q3,Philippines,450
2005 Q3,Pitcairn Islands (British),0
2005 Q3,Poland,0
2005 Q3,Portugal,0
2005 Q3,Puerto Rico,0
2005 Q3,Qatar,347
2005 Q3,Refugee,4
2005 Q3,Reunion,0
2005 Q3,Romania,447
2005 Q3,Russia,"1,952"
2005 Q3,Rwanda,31
2005 Q3,Samoa,4
2005 Q3,San Marino,1
2005 Q3,Sao Tome and Principe,13
2005 Q3,Saudi Arabia,"1,225"
2005 Q3,Senegal,33
2005 Q3,Serbia,0
2005 Q3,Serbia and Montenegro,481
2005 Q3,Seychelles,40
2005 Q3,Sierra Leone,112
2005 Q3,Singapore,752
2005 Q3,Slovakia,0
2005 Q3,Slovenia,0
2005 Q3,Solomon Islands,1
2005 Q3,Somalia,3
2005 Q3,South Africa,288
2005 Q3,South Georgia and South Sandwich Islands,0
2005 Q3,Spain,0
2005 Q3,Sri Lanka,"1,193"
2005 Q3,St. Helena (British),0
2005 Q3,St. Kitts and Nevis,7
2005 Q3,St. Lucia,63
2005 Q3,St. Maarten (Dutch Part),0
2005 Q3,St. Martin (French Part),0
2005 Q3,St. Pierre and Miquelon,0
2005 Q3,St. Vincent and the Grenadines,31
2005 Q3,Stateless,17
2005 Q3,Sudan,112
2005 Q3,Sudan (South),0
2005 Q3,Surinam,2
2005 Q3,Svalbard and Jan Mayen,0
2005 Q3,Swaziland,30
2005 Q3,Sweden,0
2005 Q3,Switzerland,0
2005 Q3,Syria,288
2005 Q3,Taiwan,"3,013"
2005 Q3,Tajikistan,40
2005 Q3,Tanzania,479
2005 Q3,Thailand,"1,663"
2005 Q3,Togo,6
2005 Q3,Tokelau,0
2005 Q3,Tonga,4
2005 Q3,Trinidad and Tobago,283
2005 Q3,Tunisia,42
2005 Q3,Turkey,"2,284"
2005 Q3,Turkmenistan,210
2005 Q3,Turks and Caicos Islands (British),0
2005 Q3,Tuvalu,1
2005 Q3,Uganda,348
2005 Q3,Ukraine,515
2005 Q3,United Arab Emirates,499
2005 Q3,United States,"6,858"
2005 Q3,Uruguay,12
2005 Q3,Uzbekistan,403
2005 Q3,Vanuatu,0
2005 Q3,Vatican City,0
2005 Q3,Venezuela,153
2005 Q3,Vietnam,805
2005 Q3,Virgin Islands (British),0
2005 Q3,Virgin Islands (US),0
2005 Q3,Wallis and Futuna,0
2005 Q3,Western Sahara,0
2005 Q3,Yemen,115
2005 Q3,Zambia,262
2005 Q3,Zimbabwe,491
2005 Q4,Afghanistan,15
2005 Q4,Albania,53
2005 Q4,Algeria,56
2005 Q4,American Samoa,0
2005 Q4,Andorra,1
2005 Q4,Angola,72
2005 Q4,Anguilla (British),0
2005 Q4,Antigua and Barbuda,3
2005 Q4,Argentina,39
2005 Q4,Armenia,29
2005 Q4,Aruba,0
2005 Q4,Australia,135
2005 Q4,Austria,0
2005 Q4,Azerbaijan,56
2005 Q4,"Bahamas, The",4
2005 Q4,Bahrain,51
2005 Q4,Bangladesh,565
2005 Q4,Barbados,13
2005 Q4,Belarus,33
2005 Q4,Belgium,0
2005 Q4,Belize,0
2005 Q4,Benin,7
2005 Q4,Bermuda (British),0
2005 Q4,Bhutan,0
2005 Q4,Bolivia,9
2005 Q4,"Bonaire, Sint Eustatius and Saba",0
2005 Q4,Bosnia and Herzegovina,20
2005 Q4,Botswana,18
2005 Q4,Brazil,980
2005 Q4,British overseas citizens,3
2005 Q4,Brunei,109
2005 Q4,Bulgaria,57
2005 Q4,Burkina,2
2005 Q4,Burma,64
2005 Q4,Burundi,2
2005 Q4,Cambodia,3
2005 Q4,Cameroon,77
2005 Q4,Canada,202
2005 Q4,Cape Verde,2
2005 Q4,Cayman Islands (British),0
2005 Q4,Central African Republic,0
2005 Q4,Chad,1
2005 Q4,Chile,44
2005 Q4,China,"1,742"
2005 Q4,Christmas Island,0
2005 Q4,Cocos (Keeling) Islands,0
2005 Q4,Colombia,742
2005 Q4,Comoros,1
2005 Q4,Congo,6
2005 Q4,Congo (Democratic Republic),10
2005 Q4,Cook Islands,0
2005 Q4,Costa Rica,4
2005 Q4,Croatia,74
2005 Q4,Cuba,11
2005 Q4,Curacao,0
2005 Q4,Cyprus,4
2005 Q4,Cyprus (Northern part of),0
2005 Q4,Czech Republic,0
2005 Q4,Denmark,0
2005 Q4,Djibouti,1
2005 Q4,Dominica,6
2005 Q4,Dominican Republic,9
2005 Q4,East Timor,0
2005 Q4,Ecuador,42
2005 Q4,Egypt,165
2005 Q4,El Salvador,1
2005 Q4,Equatorial Guinea,1
2005 Q4,Eritrea,7
2005 Q4,Estonia,0
2005 Q4,Ethiopia,20
2005 Q4,Falkland Islands (British),0
2005 Q4,Faroe Islands,0
2005 Q4,Fiji,3
2005 Q4,Finland,0
2005 Q4,Former Yugoslavia,0
2005 Q4,France,0
2005 Q4,French Guiana,0
2005 Q4,French Polynesia,0
2005 Q4,Gabon,5
2005 Q4,"Gambia, The",93
2005 Q4,Georgia,40
2005 Q4,Germany,0
2005 Q4,Ghana,224
2005 Q4,Gibraltar (British),0
2005 Q4,Greece,0
2005 Q4,Greenland,0
2005 Q4,Grenada,1
2005 Q4,Guadeloupe,0
2005 Q4,Guam,0
2005 Q4,Guatemala,5
2005 Q4,Guinea,20
2005 Q4,Guinea-Bissau,3
2005 Q4,Guyana,17
2005 Q4,Haiti,0
2005 Q4,Heard Island and McDonald Islands,0
2005 Q4,Honduras,2
2005 Q4,Hong Kong,379
2005 Q4,Hungary,0
2005 Q4,Iceland,0
2005 Q4,India,"3,364"
2005 Q4,Indonesia,89
2005 Q4,Iran,378
2005 Q4,Iraq,48
2005 Q4,Ireland,0
2005 Q4,Israel,232
2005 Q4,Italy,0
2005 Q4,Ivory Coast,28
2005 Q4,Jamaica,17
2005 Q4,Japan,"1,043"
2005 Q4,Jordan,110
2005 Q4,Kazakhstan,207
2005 Q4,Kenya,120
2005 Q4,Kiribati,0
2005 Q4,Korea (North),0
2005 Q4,Korea (South),"1,613"
2005 Q4,Kosovo,0
2005 Q4,Kuwait,104
2005 Q4,Kyrgyzstan,43
2005 Q4,Laos,2
2005 Q4,Latvia,0
2005 Q4,Lebanon,79
2005 Q4,Lesotho,1
2005 Q4,Liberia,1
2005 Q4,Libya,"1,526"
2005 Q4,Liechtenstein,0
2005 Q4,Lithuania,0
2005 Q4,Luxembourg,0
2005 Q4,Macau,6
2005 Q4,Macedonia,12
2005 Q4,Madagascar,5
2005 Q4,Malawi,109
2005 Q4,Malaysia,596
2005 Q4,Maldives,15
2005 Q4,Mali,1
2005 Q4,Malta,0
2005 Q4,Marshall Islands,0
2005 Q4,Martinique,0
2005 Q4,Mauritania,3
2005 Q4,Mauritius,251
2005 Q4,Mayotte,0
2005 Q4,Mexico,196
2005 Q4,Micronesia,0
2005 Q4,Moldova,28
2005 Q4,Monaco,2
2005 Q4,Mongolia,33
2005 Q4,Montenegro,0
2005 Q4,Montserrat (British),0
2005 Q4,Morocco,50
2005 Q4,Mozambique,8
2005 Q4,Namibia,2
2005 Q4,Nauru,0
2005 Q4,Nepal,174
2005 Q4,Netherlands,0
2005 Q4,Netherlands Antilles,0
2005 Q4,New Caledonia,0
2005 Q4,New Zealand,17
2005 Q4,Nicaragua,0
